Age,Annual_Income,Spending_Score,Years_as_Customer,Total_Transactions,Returned_Items,Online_Orders,In_Store_Purchases,Product_Ratings,Complaints_Received
29,58511,61,19,11,1,66,45,1.3522844680691821,2
51,48302,49,13,30,5,97,14,3.7864123274348356,0
50,85568,47,7,40,5,24,47,3.435314800614327,3
65,33232,39,10,43,8,89,21,1.8405933557569356,1
40,81507,89,3,27,7,66,31,4.6021610252862155,3
41,40683,82,2,29,4,83,14,1.3466709489429376,0
54,53664,6,7,32,6,30,5,2.4921530342190867,4
52,63172,83,9,49,6,64,5,1.3781322125066264,4
61,94340,53,12,30,4,89,5,4.64777942651341,4
57,41017,76,10,26,6,88,11,1.141536516437888,0
39,66613,25,19,30,2,10,1,2.7030591072958403,2
44,60348,99,13,10,6,79,24,4.447114746694911,0
52,46448,65,10,12,5,83,3,2.005529356408899,3
18,39491,5,5,33,5,37,5,1.4200490822471807,2
52,88759,65,15,34,1,1,41,1.5080173263268142,4
54,74553,8,3,18,1,53,36,2.6197403768405976,0
64,30968,39,8,39,6,92,37,2.714327437172452,1
31,30368,43,6,16,0,6,13,3.8723077494383853,4
20,65010,82,19,45,8,48,46,1.951714656259353,1
18,84154,73,17,4,2,39,18,3.8073587183779107,2
22,65851,5,10,10,5,44,6,4.995903916210279,4
43,55496,4,1,28,2,53,17,4.4570034917251515,0
31,60936,93,13,41,8,88,43,3.5422973627911047,1
56,97005,1,10,18,9,60,7,4.7596500042124,0
44,67493,94,12,9,6,3,27,4.964436689828561,4
26,99795,56,2,22,0,33,20,3.2810955654444176,0
32,66390,45,10,10,3,88,34,2.0945205029062586,4
32,40292,65,1,40,4,7,46,4.659933038392289,3
43,58365,3,1,23,6,31,9,4.376779102350472,0
59,47207,22,15,43,6,17,27,1.338445046015544,3
30,52912,72,1,13,4,39,18,4.745498807128935,1
68,86572,56,9,24,0,74,43,2.464879348820794,0
49,49276,18,7,13,4,55,34,2.2883436353819975,0
56,35534,25,16,48,4,36,27,2.373077428656549,1
66,65670,48,16,45,3,54,45,2.280073259887699,0
69,92147,84,13,25,5,35,48,3.064100718044777,4
49,66486,31,10,44,7,9,2,3.31909488708605,3
21,95557,30,18,47,9,69,38,2.7025417496978354,2
47,64268,80,9,29,4,79,26,2.650315828802014,4
54,56336,66,12,16,7,88,16,3.9492551785021286,2
40,33641,81,13,40,4,62,14,1.0121101531116925,1
56,62959,10,11,6,2,33,41,4.787545846217188,1
62,43306,71,15,8,7,94,38,3.8577346245447854,0
32,76182,59,10,34,3,71,21,3.8290101143336708,4
60,86326,51,10,18,2,16,19,2.687853464834341,2
46,51498,9,9,43,2,60,26,4.863147286553129,3
53,57197,54,3,32,5,77,34,1.0012929267232558,4
30,50719,62,16,49,7,93,46,1.3059256404641113,1
49,55032,81,12,10,9,17,4,4.216257212567594,4
24,89624,9,17,34,4,60,1,3.9548035245388786,3
68,71964,9,15,23,0,35,40,2.0854219846574757,4
39,60028,24,3,19,0,84,49,3.3790395205147408,0
45,84646,39,5,20,2,52,44,3.128211404739047,3
19,38536,75,13,34,5,94,19,3.1084589766143687,2
59,86747,8,6,38,1,32,6,3.382245217546836,1
62,75712,25,9,17,0,22,35,4.9749411880507655,4
23,36273,66,19,44,6,63,7,4.949379772791447,3
45,80830,10,7,5,1,37,26,4.926726776939853,0
45,47127,24,13,2,7,68,5,3.1947375637881485,0
61,41539,80,5,41,1,78,23,2.27237557160934,2
61,76761,83,16,34,0,29,35,3.2404401537432523,1
37,76219,59,4,20,9,15,4,3.4907539733868305,0
47,44692,31,5,46,1,53,19,2.2457522749444037,1
28,43334,11,19,47,1,58,19,3.531103659874956,3
45,58615,6,6,2,6,92,40,3.487977094157459,4
42,37903,70,4,28,0,91,39,4.613885649326512,2
56,58527,32,1,18,2,5,33,1.9504145513816198,0
50,45629,39,17,44,4,4,38,3.790439303173739,4
18,88008,48,9,39,6,88,49,2.803045492376537,0
44,56708,13,16,48,5,91,9,1.5196626987537725,2
69,40860,59,2,35,7,0,2,2.26473069325351,0
30,47438,67,11,15,0,13,48,1.2291081377881161,2
58,97300,56,5,47,6,82,33,2.2773313274093305,4
20,50842,41,13,39,8,30,34,1.2760545891059323,3
56,90213,56,17,40,6,50,36,4.701780223591193,2
23,72372,35,15,39,5,78,44,1.4069838267189483,3
25,98906,38,12,3,8,18,44,4.269365441854338,1
44,68744,81,6,19,3,31,37,4.624505641478053,4
26,87442,67,13,23,9,56,45,2.870682231979331,2
54,33650,34,18,19,5,30,22,1.2157048640062071,4
50,75117,76,15,18,5,57,36,3.383142733703076,3
68,82772,88,15,30,9,25,20,1.9390735350257948,3
59,33190,70,8,39,2,47,26,1.7066336146878434,4
61,78113,11,19,19,6,40,0,3.26705555940274,4
41,38789,27,14,5,0,24,8,2.4255295793513874,3
32,62125,48,7,13,7,46,2,3.921514307385928,4
49,47459,24,14,34,7,53,37,3.3650042213150617,3
49,65418,18,5,24,7,56,35,4.317365094885581,1
41,77085,27,15,18,8,71,33,1.2335434546800745,3
58,48768,54,15,4,3,60,29,1.9396761789006538,0
69,79961,55,4,36,5,3,30,3.2679587361032314,3
66,57885,21,1,8,6,30,29,4.521712929781861,1
66,91082,59,17,43,1,95,15,4.25372669125287,3
69,36895,34,1,1,5,97,28,3.7181253557425133,4
29,80311,97,16,41,7,66,5,3.2962881414982466,1
56,97067,58,13,38,3,40,13,3.5258369480097866,2
19,53932,48,18,36,4,25,9,1.8544310084633646,3
20,51360,54,10,38,7,67,23,3.38077275007683,4
66,84847,18,18,13,2,65,35,2.9750463571140213,2
54,68931,3,17,22,5,18,23,2.5377379241462927,2
66,85823,24,9,29,0,86,6,4.550922068356137,2
34,68032,1,14,9,3,24,48,4.317662898988322,0
66,48807,6,13,27,5,46,36,1.306942639005273,4
19,41767,19,14,46,2,70,45,4.9429177663052455,0
19,38071,86,11,44,0,7,47,1.9199368118903868,4
45,83413,43,13,4,5,2,39,1.8613575493676118,4
40,56149,8,17,40,2,86,47,4.775264985266896,1
54,45540,69,3,17,7,32,37,2.7792097118746737,2
49,49787,52,1,37,6,27,24,4.221458814374817,3
50,50982,73,5,3,6,21,42,2.1528091160956957,1
18,52606,47,13,4,7,98,33,4.4926844642231885,3
36,40150,85,5,40,6,97,0,4.329219061485805,2
19,76936,28,5,16,4,29,27,3.0779146864664835,4
61,38593,46,12,11,9,46,40,3.8202238394109806,1
43,47358,4,2,27,7,35,28,4.856112644033654,0
49,67381,88,16,26,7,58,31,2.8081817597098513,4
23,58074,8,17,31,7,13,4,2.9768194986810816,0
49,50595,61,5,34,9,72,33,3.8912150086952644,4
21,74194,17,12,8,5,85,45,2.545706242625647,4
28,79377,34,15,39,1,91,25,4.844918898722868,2
34,56853,20,6,1,7,13,12,1.161743079545651,1
55,50661,80,13,2,9,78,11,2.613511583164145,3
41,80493,74,11,27,0,55,21,3.855404268160649,2
22,66495,34,17,45,8,23,8,2.7175225032862578,3
69,43703,43,9,43,8,97,5,2.0369944372147533,4
51,83080,10,16,3,5,48,35,2.6538166302311517,0
23,60815,94,17,34,9,42,9,4.526067190418799,3
39,59565,30,18,16,5,2,36,3.1880290101630715,0
28,93321,25,13,1,5,22,31,2.340440771313333,3
65,88453,57,11,7,3,19,3,3.686091936704937,0
33,63161,63,13,35,0,14,3,3.4473802436962178,2
50,85991,71,13,22,0,42,12,3.2417872615727927,3
26,39716,47,12,48,0,79,15,2.5646290829807246,2
23,63349,84,14,32,4,70,42,1.288801230484597,2
33,77098,81,13,26,6,32,49,3.482925980450367,0
46,30132,3,9,6,0,54,25,2.67915505364399,3
20,81990,46,14,46,0,82,32,2.7150563530160574,3
37,98921,36,1,11,5,81,3,1.9363217385198621,1
53,66538,26,9,31,1,40,25,1.9976800016549658,0
36,37213,10,4,21,1,17,8,4.149845220953942,3
43,74223,34,12,22,6,2,40,2.91745918174455,4
20,98371,78,14,1,8,2,10,1.437191636830586,1
36,98274,8,9,21,7,99,4,1.183403859573466,3
37,34134,55,3,45,1,15,37,1.898861869115367,0
49,69601,91,6,20,6,42,31,2.949767143150421,4
24,45690,10,3,9,4,22,28,3.4690003747000797,3
69,31909,57,1,27,9,86,37,1.5747150829076206,2
58,42062,79,3,29,3,14,39,2.7354361856401477,2
50,64731,86,14,43,9,72,27,1.290208731090218,4
57,35153,45,2,33,3,57,23,1.1509035520902269,4
56,40481,50,12,45,3,39,18,4.453391757217938,4
35,96425,64,10,1,8,37,0,3.6333368785481532,4
57,93600,95,13,3,6,81,4,4.1243751416864995,0
18,58205,2,4,32,6,5,22,1.727509705645665,2
28,74149,45,19,20,3,45,18,2.288630732880361,3
45,79112,95,1,17,8,5,1,2.7751652128484516,3
42,40940,62,11,37,7,84,47,3.632137379094343,2
67,89010,14,16,38,9,93,1,3.1393750710498276,3
40,54485,74,19,49,3,91,8,3.2058289916055434,2
48,31067,94,19,10,5,19,17,1.627771395118124,1
47,50607,15,12,43,3,18,15,2.8991480638753124,2
59,91597,14,3,45,0,13,38,4.295193152257664,3
52,78521,31,18,29,4,64,8,3.037843409539676,1
24,45187,29,17,42,9,90,43,1.7989672359955864,3
33,33985,27,5,46,2,95,22,2.653588759068061,0
43,73052,85,16,32,0,28,32,4.019234539673304,3
65,49563,9,14,13,1,30,37,1.5399696782338754,1
69,77322,20,19,31,1,24,33,3.32185354022557,2
66,91245,99,6,4,7,70,25,4.861258873012339,3
19,81514,58,3,49,3,45,16,2.521207639158942,2
18,48608,79,6,18,2,51,13,1.174564972660423,3
65,97262,88,12,11,3,15,12,3.532416016078943,4
29,87225,49,11,42,9,10,21,1.1884140613562066,3
22,47221,57,7,18,0,17,42,1.7664226574315274,4
54,78506,16,1,41,0,55,47,1.1935891046107505,3
49,50968,75,16,37,4,55,17,1.6826024513415727,3
26,57937,8,16,33,6,56,19,4.419728869491362,4
58,92435,67,17,37,8,68,29,3.939405270743339,0
52,79508,19,15,3,6,65,34,2.3674105552354594,2
36,71831,67,9,1,4,73,32,4.588551286190571,1
65,72933,36,5,19,2,89,45,3.6607288629385155,3
33,77307,89,8,6,7,87,16,2.790986382748335,1
20,78340,60,1,10,6,89,34,1.2733315249355326,0
37,73601,36,7,37,3,15,11,3.922885474038705,3
41,58754,11,11,12,0,88,1,2.502104502156957,4
50,73310,51,13,44,2,5,33,2.2113160169782224,4
41,99893,80,13,17,7,51,11,2.153092053537742,3
69,78367,55,7,27,1,54,25,1.030836903777709,4
28,43201,54,11,2,8,75,31,3.9705808112069843,0
66,32739,17,18,25,3,72,20,1.5812413480691134,2
25,43231,62,1,46,6,48,4,3.082579355457029,2
53,72495,42,12,44,9,71,27,1.06432560801689,0
55,51168,24,3,28,6,55,22,3.5115331517012334,4
57,62624,17,1,45,7,94,47,2.4779693949790342,2
37,40635,48,4,37,6,40,31,3.5229898054608837,4
52,39964,84,6,37,3,95,4,1.3595797880644618,4
65,57785,86,5,17,6,70,34,2.065335383912508,1
42,42336,70,11,5,4,95,5,1.441227171891649,2
52,57412,7,13,19,9,55,18,3.5842831116786007,4
42,75591,14,11,4,6,88,43,1.4342139835112424,1
46,91750,11,6,39,2,96,39,3.468408846134234,0
35,65454,12,19,49,9,62,5,1.5387618839313362,2
63,92672,5,15,43,6,27,13,4.773418422333169,0
35,57228,5,13,38,6,74,2,2.665522709619068,0
19,44429,20,10,45,1,30,10,1.5063603183043206,3
52,97808,54,1,44,7,54,38,1.1672418015875081,2
33,83015,55,13,30,6,51,40,2.317690215409342,0
58,98936,58,6,32,8,73,23,4.565545697131598,0
53,87378,79,12,37,3,65,42,1.575260647762828,0
50,67310,90,17,27,8,45,44,4.163328270151533,4
21,98827,97,18,32,0,3,17,2.6694873141747397,2
50,65256,30,8,42,4,21,30,4.21171140295494,2
31,68889,24,14,11,9,44,9,4.497165395395246,2
38,81428,87,5,41,6,27,25,4.991270230429395,2
65,67207,73,2,13,3,9,28,1.2727899065344501,2
37,80255,3,11,35,6,65,1,4.185205042902692,0
25,35409,48,3,17,8,48,29,1.278755534992797,1
24,72438,71,16,30,4,94,38,2.259170847115984,3
20,37869,22,16,18,4,86,46,3.584929018564712,2
34,86862,14,9,37,1,79,9,2.7891537400474182,4
50,55958,48,13,48,4,72,11,3.2610275010749032,1
65,49768,29,10,30,7,50,19,4.864768483706175,4
29,56145,50,17,26,3,42,40,4.274627032864066,0
68,56442,80,17,16,1,5,18,2.4546782287231905,3
39,55596,98,10,11,7,24,5,3.3997785391931425,0
39,72406,10,8,4,3,3,22,1.1939321121483597,0
63,70524,71,7,41,4,75,18,2.811592948564045,2
47,53332,89,14,15,6,23,30,3.433586141573339,4
55,45764,27,18,12,4,55,32,3.8588685173598556,2
55,57563,79,19,27,9,90,1,4.606069155120586,0
62,66370,96,18,48,3,54,14,2.132232934109129,3
68,35062,28,14,4,6,53,10,4.60868173388956,1
25,74645,9,10,35,3,2,25,3.646074064261114,0
44,37244,71,1,21,9,75,17,1.3105828891217497,0
44,36372,80,9,36,3,46,0,2.5213315357258437,0
51,94471,26,18,2,1,29,31,2.906380474954002,4
38,46956,99,13,39,4,75,3,2.4099490630410196,1
47,70473,81,17,28,7,40,21,1.4637586804858285,3
50,43894,87,16,34,3,54,35,3.206338251150831,0
45,99586,8,11,33,1,58,28,1.5270137183645431,1
64,46709,2,9,8,8,39,35,4.660108825690422,0
50,45210,95,7,8,5,44,49,4.461012243231843,1
22,79510,57,1,42,2,21,32,2.9008626347687825,1
65,68674,52,9,22,9,14,38,1.2709945843979251,4
36,47733,58,10,27,4,91,13,3.2088216387168167,4
21,50080,96,16,28,5,16,47,3.368946843830941,1
52,83412,93,18,11,8,58,46,4.5536911980668275,2
66,88971,3,14,27,4,24,36,1.2700700681212274,0
34,69709,8,11,1,8,42,44,3.7684190912443936,4
61,89846,59,4,39,0,63,4,3.2512195660103993,1
45,95480,2,19,28,9,50,49,1.6990981347032146,2
47,82960,95,13,27,3,60,21,1.48693379071094,1
46,71152,62,1,8,0,44,4,3.775803322134909,3
63,57250,49,19,46,1,2,36,2.359283513235892,1
23,78137,20,15,24,1,35,37,4.999758784182874,3
52,76412,29,15,40,9,94,45,4.576012638064073,4
58,73876,17,11,36,4,78,33,3.2628698932233546,4
54,80227,74,5,24,0,63,14,3.566926342972113,1
41,62450,22,10,42,9,27,47,1.6355462505519331,4
46,36861,6,18,22,2,94,36,4.576018802552731,1
66,91914,62,7,10,5,44,26,2.8357350973784645,1
63,93888,98,1,4,0,83,47,3.0854159985052183,3
48,91293,31,3,8,0,20,0,4.4925163444905305,0
52,98515,62,1,39,2,26,28,1.0250013179377087,1
50,53524,12,17,15,8,82,7,2.9773864027171926,0
69,37065,12,15,8,1,99,32,3.507066611711798,2
38,67684,63,5,29,5,75,6,1.637240018199413,4
49,63365,16,16,42,2,34,28,1.2732016141077471,2
40,88876,25,12,39,5,47,30,3.1397365468066973,2
50,53704,22,19,35,6,96,37,3.1901162301173804,1
20,87857,91,14,41,6,99,7,2.321002023906035,2
35,35622,88,3,48,1,22,30,4.528925108131128,1
42,96201,76,19,14,2,63,36,2.2043383459256214,4
59,62694,18,1,32,3,12,14,3.065917898623057,4
48,52995,45,1,7,7,29,31,1.7468601559419286,2
20,38419,80,10,44,4,73,25,1.044641221925375,1
57,77952,68,3,33,0,19,47,2.7041114147877074,3
63,63837,12,13,48,8,5,48,3.1077934930607953,3
41,78877,49,6,35,0,94,10,4.058719425300298,0
67,75687,33,11,27,1,18,22,2.7950880971915786,0
49,67276,86,6,1,6,66,33,2.1149287190227017,0
64,64523,63,3,6,2,73,32,3.4169466872307694,2
39,96055,18,16,2,5,9,16,2.5247006846003304,1
40,84615,54,9,7,7,55,32,1.9336988950934466,0
19,40514,97,8,8,4,20,1,4.641391945563486,1
44,77456,27,3,45,0,55,48,3.146763172581578,2
59,37233,83,5,29,9,56,3,1.8019090840060175,1
19,31102,78,14,16,2,1,11,3.6836453370960376,1
43,96133,25,5,29,1,38,28,4.212310455731567,2
34,76715,34,19,31,5,60,41,4.034135021909721,3
57,36256,88,5,22,4,44,41,3.3981496441612045,1
50,94800,60,2,10,6,93,46,3.0784865373228936,1
26,71548,54,7,4,1,27,42,4.109294732254227,4
60,72367,87,1,25,5,17,38,3.8324888164474697,4
65,56205,5,18,13,4,13,41,3.2859084729563324,0
56,55570,36,10,17,5,54,18,3.630882259028376,0
46,60255,54,6,40,4,58,49,1.6745033778746463,2
59,51182,88,7,8,6,18,1,1.0797341528318465,2
43,69373,36,12,23,4,99,6,4.72454441103641,4
52,73019,69,18,7,6,40,45,4.7411387807706795,4
67,92619,39,11,32,0,11,21,4.151883123922607,0
42,46043,70,19,24,8,19,10,2.489216810022069,4
41,75532,4,4,1,5,33,32,1.6030027851987305,1
30,95936,74,19,47,8,35,19,2.4293284842293628,1
24,49239,65,13,47,0,20,4,3.9049338670271356,4
53,40416,85,19,36,1,55,3,2.3407998606818063,2
62,33412,40,2,27,6,82,13,4.183651772293767,0
37,54406,37,9,6,3,40,2,3.692053218041285,1
18,31875,67,8,42,9,40,49,3.5199184464517175,2
25,67066,31,14,31,0,42,17,4.72094738663334,4
63,35752,91,9,12,4,98,26,4.57366516074873,0
33,31353,81,13,26,3,71,3,3.846661867450349,0
31,56986,87,18,25,5,85,2,1.7969901334043312,2
29,44691,77,6,4,6,37,26,4.755696898884488,2
68,99847,47,3,6,2,17,27,1.9084898062677302,2
40,78075,27,10,46,5,7,21,2.4903326212579104,4
32,40794,51,10,13,1,65,41,4.307124701475039,4
45,98470,20,10,25,9,19,28,1.8346284310874936,2
51,46406,13,9,31,3,68,15,3.554412960480861,4
19,56872,63,12,22,9,56,34,2.831345521325571,0
49,71708,44,8,35,8,93,18,3.496133235731632,3
40,50800,24,9,21,6,17,29,4.832203083951045,4
39,73397,3,17,15,1,59,14,4.233457115608489,0
68,67909,10,8,3,5,86,4,2.183290544276691,3
42,51352,65,18,37,3,1,30,1.2290970671646275,3
39,45438,49,17,45,7,41,42,4.868177331523987,2
39,74999,58,6,26,7,63,30,3.3406897058626996,2
66,48482,77,10,47,0,43,8,1.6924205576428024,0
69,62471,78,1,17,7,50,12,3.5084346999067693,2
59,77279,97,1,38,9,95,42,1.1688658208259803,3
23,84213,2,9,35,6,64,20,1.7500879925369484,0
32,43026,66,3,41,0,64,45,3.5305216815694562,0
60,35435,31,6,8,2,53,30,2.609909252357141,0
54,38493,68,7,11,4,94,0,2.300366908670757,2
50,89321,98,9,24,2,38,40,3.6219785996486697,2
25,32763,83,5,43,2,7,12,4.465614067173043,2
61,50389,37,16,8,0,66,33,3.7143643971039113,4
61,61498,73,2,30,7,75,35,2.853761762427105,4
22,93755,24,3,1,8,97,15,3.6354553243144387,4
56,65825,77,3,34,4,48,9,3.7826088629656196,0
21,46934,44,10,20,0,88,37,4.100202480928761,2
23,35574,94,3,36,0,35,40,2.2281935347581516,4
62,68179,83,15,34,8,6,33,1.4577347970737278,0
49,31587,41,14,34,0,14,24,3.727520240850278,3
69,72782,74,4,13,8,84,0,1.484339099996638,4
47,84412,51,10,6,2,24,11,2.8480584884596047,0
64,90561,42,11,36,2,56,21,1.9228065322470802,1
52,34409,78,11,25,3,37,21,2.3282841727500014,4
57,56751,40,8,27,4,36,47,2.882498430502509,3
69,68174,48,9,47,5,15,1,4.58470653085811,0
33,86572,84,8,31,5,0,44,3.72169479388601,4
30,91416,4,12,3,9,46,7,1.6865467784109542,4
67,42041,60,17,28,8,51,32,4.517789727718038,1
59,53227,39,15,4,0,36,4,3.0021720193155375,0
47,65201,5,19,17,8,44,9,1.8170159438086824,0
36,66069,96,6,38,3,13,2,3.109752679998019,0
34,56370,6,5,34,6,56,10,1.7637026918311407,2
36,41586,14,8,20,5,33,29,2.4693004087230324,1
45,80231,70,18,13,8,65,27,4.222095413539929,0
43,35322,78,15,47,1,30,4,3.6344621720261796,1
54,95294,12,3,5,1,82,11,2.911767785493549,2
43,59299,62,14,24,6,82,43,1.9057573652366595,0
40,76501,27,15,38,8,43,44,2.128677646380685,1
26,87134,54,13,17,4,22,28,4.912945637799181,1
29,39777,90,9,31,6,93,25,2.37174705202661,2
18,41249,12,17,28,7,80,28,3.4645102026149726,1
18,51390,8,19,1,7,65,28,2.998992750428414,2
64,50369,74,4,2,3,10,13,1.092416350493553,4
51,42881,16,10,33,9,48,35,4.778699181620468,1
49,39587,52,3,40,6,77,34,1.3517170475911424,2
65,37833,26,19,29,0,57,48,3.6348309763649844,3
42,77013,8,9,4,3,28,7,4.244097024364521,0
57,93620,45,5,18,4,82,15,3.994938771470888,0
62,45754,93,14,24,9,91,42,4.237001270228855,0
18,65282,84,7,32,6,50,4,3.9588800820027292,2
33,66737,81,6,9,5,0,15,2.782288667828075,2
56,54124,19,8,47,3,4,40,4.585098368164607,0
22,32196,17,2,16,2,33,12,4.64976435523222,2
